xi; yi_e; yi_rk; yi_ab; yi_h; yi_a
0; 0.1; 0.1; 0.1; 0.1; 0.1; 0.1
0.1; 0.97008; 1.06; 1.06; 0.964; 0.888219; 0.888219
0.2; 1.68244; 1.828; 1.828; 1.67248; 1.61543; 1.61543
0.3; 2.26568; 2.4424; 2.04; 2.25343; 2.21082; 2.21082
0.4; 2.74319; 2.93392; 2.7232; 2.72982; 2.69829; 2.69829
0.5; 3.13415; 3.32714; 3.61512; 3.12045; 3.09739; 3.09739
0.6; 3.45424; 3.64171; 3.8721; 3.44077; 3.42415; 3.42415
0.7; 3.71631; 3.89337; 4.07768; 3.70343; 3.69167; 3.69167
0.8; 3.93087; 4.09469; 4.4441; 3.91881; 3.91071; 3.91071
0.9; 4.10654; 4.25575; 4.50311; 4.09543; 4.09004; 4.09004
1; 4.25037; 4.3846; 4.49451; 4.24025; 4.23686; 4.23686
1.1; 4.36813; 4.48768; 4.57561; 4.359; 4.35706; 4.35706
1.2; 4.46454; 4.57015; 4.64048; 4.45638; 4.45548; 4.45548
1.3; 4.54347; 4.63612; 4.66679; 4.53623; 4.53606; 4.53606
1.4; 4.6081; 4.68889; 4.72114; 4.60171; 4.60203; 4.60203
1.5; 4.66101; 4.73112; 4.35091; 4.6554; 4.65604; 4.65604
1.6; 4.70433; 4.76489; 4.46073; 4.69943; 4.70027; 4.70027
1.7; 4.7398; 4.79191; 4.54858; 4.73553; 4.73647; 4.73647
1.8; 4.76884; 4.81353; 4.50737; 4.76514; 4.76611; 4.76611
1.9; 4.79261; 4.83082; 4.61171; 4.78941; 4.79038; 4.79038
2; 4.81208; 4.84466; 4.25623; 4.80932; 4.81025; 4.81025
